File Upload Cross Reference *;English *;Indonesian;English *;Indonesian;Equipment Type *;Weight Minimum;Weight Maximum;Weight UoM;Volume Minimum;Volume Maximum;Volume UoM;Pallets Minimum;Pallets Maximum;Enforce strict size restrictions;Integration Code *;EDI X12 Code;EDI X12 Length;EDIFACT Code;EDIFACT Length;Status *
ENGKEL FUSO_WB;ENGKEL FUSO_WB;;EFUWB;;Other;1;16000;kg;;;m3;;;NO;EFUWB;;;;;ENABLED
ENGKEL FUSO_BOX;ENGKEL FUSO_BOX;;EFUBO;;Other;1;16000;kg;;;m3;;;NO;EFUBO;;;;;ENABLED
TRINTIN_DUMP;TRINTIN_DUMP;;TIDP;;Other;1;999999999;kg;;;m3;;;NO;TIDP;;;;;DISABLED
TRONTON_WB;TRONTON_WB;;TOWB;;Other;1;25000;kg;;;m3;;;NO;TOWB;;;;;ENABLED
TRINTON_CHILLER;TRINTON_CHILLER;;TTCL;;Reefer;1;999999999;kg;;;m3;;;NO;TTCL;;;;;DISABLED
CDD_DUMP;CDD_DUMP;;CDDDP;;Other;1;6000;kg;;;m3;;;NO;CDDDP;;;;;DISABLED
TRINTON_WB;TRINTON_WB;;TTWB;;Other;1;999999999;kg;;;m3;;;NO;TTWB;;;;;ENABLED
CDE_LOSSBAK;CDE_LOSSBAK;;CDEL;;Flatbed;2500;3500;kg;;;m3;;;NO;CDEL;;;;;ENABLED
ENGKEL FUSO_CHILLER;ENGKEL FUSO_CHILLER;;EFUCL;;Reefer;1;999999999;kg;;;m3;;;NO;EFUCL;;;;;ENABLED
CDE_CHILLER;CDE_CHILLER;;CDECL;;Reefer;1;999999999;kg;;;m3;;;NO;CDECL;;;;;ENABLED
ENGKEL FUSO_DUMP;ENGKEL FUSO_DUMP;;EFUDP;;Other;1;999999999;kg;;;m3;;;NO;EFUDP;;;;;ENABLED
CDE_WB;CDE_WB;;CDEWB;;Other;1;999999999;kg;;;m3;;;NO;CDEWB;;;;;DISABLED
CDD_CHILLER;CDD_CHILLER;;CDDCL;;Reefer;1;999999999;kg;;;m3;;;NO;CDDCL;;;;;ENABLED
TRINTIN_WB;TRINTIN_WB;;TIWB;;Other;1;999999999;kg;;;m3;;;NO;TIWB;;;;;DISABLED
TRONTON_CHILLER;TRONTON_CHILLER;;TOCL;;Reefer;1;999999999;kg;;;m3;;;NO;TOCL;;;;;ENABLED
CDD_LOSSBAK;CDD_LOSSBAK;;CDDLB;;Flatbed;4000;8000;kg;;;m3;;;NO;CDDLB;;;;;ENABLED
TRINTON_DUMP;TRINTON_DUMP;;TTDP;;Other;1;999999999;kg;;;m3;;;NO;TTDP;;;;;DISABLED
CDD_BOX;CDD_BOX;;CDDBO;;Other;1;6000;kg;;;m3;;;NO;CDDBO;;;;;ENABLED
TRINTIN_CHILLER;TRINTIN_CHILLER;;TICL;;Reefer;1;999999999;kg;;;m3;;;NO;TICL;;;;;DISABLED
TRINTON_BOX;TRINTON_BOX;;TTBO;;Other;1;999999999;kg;;;m3;;;NO;TTBO;;;;;ENABLED
TRONTON_HIBLOW;TRONTON_HIBLOW;;TRHB;;Bulk;1;50000;kg;;;m3;;;NO;TRHB;;;;;ENABLED
TRINTON_LOSSBAK;TRINTON_LOSSBAK;;TTLB;;Flatbed;1;999999999;kg;;;m3;;;NO;TTLB;;;;;ENABLED
CDE_DUMP;CDE_DUMP;;CDEDP;;Other;1;999999999;kg;;;m3;;;NO;CDEDP;;;;;DISABLED
L300_BOX;L300_BOX;;L30BO;;Other;1;2500;kg;;;m3;;;NO;L30BO;;;;;ENABLED
L300_CHILLER;L300_CHILLER;;L30CL;;Reefer;1;999999999;kg;;;m3;;;NO;L30CL;;;;;ENABLED
TRAILER40_LOSSBAK;TRAILER40_LOSSBAK;;T40;;Flatbed;30001;85000;kg;;;m3;;;NO;T40;;;;;ENABLED
TRINTIN_BOX;TRINTIN_BOX;;TIBO;;Other;1;999999999;kg;;;m3;;;NO;TIBO;;;;;DISABLED
TRINTIN_LOSSBAK;TRINTIN_LOSSBAK;;TILB;;Flatbed;1;999999999;kg;;;m3;;;NO;TILB;;;;;DISABLED
TRAILER_CONTAINER20;TRAILER_CONTAINER20;;CT20;;Container;1;999999999;kg;;;m3;;;NO;CT20;;;;;ENABLED
TRONTON_DUMP;TRONTON_DUMP;;TODP;;Other;25000;40000;kg;;;m3;;;NO;TODP;;;;;ENABLED
TRAILER_CONTAINER40;TRAILER_CONTAINER40;;CT40;;Container;1;999999999;kg;;;m3;;;NO;CT40;;;;;ENABLED
CDE_BOX;CDE_BOX;;CDEBO;;Other;1;3500;kg;;;m3;;;NO;CDEBO;;;;;ENABLED
CDD_WB;CDD_WB;;CDDWB;;Other;1;999999999;kg;;;m3;;;NO;CDDWB;;;;;ENABLED
ENGKEL FUSO_LOSSBAK;ENGKEL FUSO_LOSSBAK;;EFULB;;Flatbed;8000;16000;kg;;;m3;;;NO;EFULB;;;;;ENABLED
TRONTON_LOSSBAK;TRONTON_LOSSBAK;;TOLB;;Flatbed;16000;35000;kg;45;55;m3;;;NO;TOLB;;;;;ENABLED
TRAILER20_LOSSBAK;TRAILER20_LOSSBAK;;T20;;Flatbed;18000;26000;kg;;;m3;;;NO;T20;;;;;ENABLED
TRONTON_BOX;TRONTON_BOX;;TOBO;;Other;1;999999999;kg;;;m3;;;NO;TOBO;;;;;ENABLED
PASSENGER;PASSENGER;;PASSE;;Other;1;999999999;kg;;;m3;;;NO;PASSE;;;;;DISABLED
CDD_BAK_THREE_WAY;CDD_BAK_THREE_WAY;;CDDBT;;Other;1;6000;kg;;;m3;;;NO;CDDBT;;;;;ENABLED
TRAILER20_LOWBED;TRAILER20_LOWBED;;T20LB;;Flatbed;1;999999999;kg;;;m3;;;NO;T20LB;;;;;ENABLED
TRAILER40_LOWBED;TRAILER40_LOWBED;;T40LB;;Flatbed;1;999999999;kg;;;m3;;;NO;T40LB;;;;;ENABLED
TRONTON_TD;TRONTON_TD;;TOTD;;Other;1;999999999;kg;;;m3;;;NO;TOTD;;;;;DISABLED
TRAILER20_TD;TRAILER20_TD;;T20TD;;Other;1;999999999;kg;;;m3;;;NO;T20TD;;;;;DISABLED
CDD LONG_BOX;CDD LONG_BOX;;CLOB;;Other;1;6000;kg;;;m3;;;NO;CLOB;;;;;ENABLED
CDE LONG_BOX;CDE LONG_BOX;;CELOB;;Other;1;3500;kg;;;m3;;;NO;CELOB;;;;;ENABLED
TRAILER20_DUMP;TRAILER20_DUMP;;T20DP;;Other;1;999999999;kg;;;m3;;;NO;T20DP;;;;;ENABLED
TRAILER40_DUMP;TRAILER40_DUMP;;T40DP;;Other;1;999999999;kg;;;m3;;;NO;T40DP;;;;;DISABLED
ENGKEL FUSO_LONG_BOX;ENGKEL FUSO_LONG_BOX;;EFULN;;Other;1;999999999;kg;;;m3;;;NO;EFULN;;;;;DISABLED
TRAILER_REEFER20;TRAILER_REEFER20;;TRR20;;Reefer;1;999999999;kg;;;m3;;;NO;TRR20;;;;;DISABLED
TRAILER_REEFER40;TRAILER_REEFER40;;TRR40;;Reefer;1;999999999;kg;;;m3;;;NO;TRR40;;;;;DISABLED
TRAILER20_OPENTOP;TRAILER20_OPENTOP;;T20OT;;Other;1;999999999;kg;;;m3;;;NO;T20OT;;;;;DISABLED
BLIND_VAN;BLIND_VAN;;BLVA;;Other;1;999999999;kg;;;m3;;;NO;BLVA;;;;;ENABLED
TRAILER20_COMBO;TRAILER20_COMBO;;T20CB;;Container;1;999999999;kg;;;m3;;;NO;T20CB;;;;;ENABLED
LUMPSUM;LUMPSUM;;LUMP;;Other;;;kg;;;m3;;;NO;LUMP;;;;;ENABLED
CDD_BAK;CDD_BAK;;CDD_B;;Other;1;6000;kg;;;m3;;;NO;CDD_B;;;;;ENABLED
ENGKEL FUSO_COMBO;ENGKEL FUSO_COMBO;;EFUCO;;Reefer;1;999999999;kg;;;m3;;;NO;EFUCO;;;;;ENABLED
TRAILER40_WB;TRAILER40_WB;;T40WB;;Flatbed;1;999999999;kg;;;m3;;;NO;T40WB;;;;;ENABLED
CDD_LONG_CHILLER;CDD_LONG_CHILLER;;CDDLC;;Reefer;1;999999999;kg;;;m3;;;NO;CDDLC;;;;;ENABLED
