NOPOL;UNIT TYPE
B9058SXS;CDD CHILLER RENTAL
B9059SXS;CDE CHILLER RENTAL
B9060SXS;CDE CHILLER RENTAL
B9061SXS;CDE CHILLER RENTAL
B9062SXS;CDE CHILLER RENTAL
B9063SXS;CDE CHILLER RENTAL
B9064SXS;CDE CHILLER RENTAL
B9068SXS;CDE CHILLER RENTAL
B9069SXS;CDE CHILLER RENTAL
B9078BEV;WINGBOX
B9083BEV;WINGBOX
B9088BEV;WINGBOX
B9102BEV;WINGBOX
B9104ZJ;L300
B9148FXS;CDE BOX
B9206UCD;CDE BOX
B9312UT;WINGBOX
B9314UT;WINGBOX
B9316UT;WINGBOX
B9317UT;WINGBOX
B9404UEU;WINGBOX
B9405UEU;WINGBOX
B9406UEU;WINGBOX
B9407UEU;WINGBOX
B9408UEU;WINGBOX
B9409UEU;WINGBOX
B9419UEU;WINGBOX
B9420UEU;WINGBOX
B9421UEU;WINGBOX
B9422UCA;CDD BOX
B9422UEU;WINGBOX
B9467UDE;DUMP TRUK RENTAL
B9559PEU;WINGBOX GRAHA
B9560PEU;WINGBOX GRAHA
B9565UCA;L300
B9614UXR;FUSO BOX
B9624PEU;WINGBOX GRAHA
B9660UDB;CDD LOSS BAK
B9664PEU;WINGBOX GRAHA
B9698BCV;FUSO BOX
B9738SYM;CDE BOX
B9747SYM;CDD BOX
B9754PEU;WINGBOX GRAHA
B9756SYU;TRONTON LOSSBAK
B9760SYU;TRONTON LOSSBAK
B9804PEU;WINGBOX GRAHA
B9810PEU;WINGBOX GRAHA
B9820UDB;CDD LOSS BAK
B9822UT;CDD BOX
B9845UYW;TRONTON LOSSBAK
B9849UYW;TRONTON LOSSBAK
B9947UCE;CDD BOX
B9958UCE;CDD BOX
B9958UT;CDD BOX
B9960UT;CDD BOX
B9968UT;CDD BOX
DK8795JK;L300
DK8850KL;CDD BOX
L9165CJ;TRONTON LOSSBAK
L9852BZ;CDD BOX
