Material Code;Description
801525;FILMA CO SNI 12X1L PCH
802582;Filma CO SNI NP 12x1L Pch
801524;Filma CO SNI 6x2L Pch
802583;Filma CO SNI NP 6x2L Pch
801521;Filma CO SNI 12x1L Btl
801523;Filma CO SNI 6x2L Btl
801522;Filma CO SNI 4x5L Jrc
801501;Kunci Mas CO SNI (0520) 48x200Ml Pch
801502;Kunci Mas CO SNI (0520) 24x450Ml Pch
801500;Kunci Mas CO SNI (0520) 12x900Ml Pch
802591;Kunci Mas CO SNI NP 12x900Ml Pch
801505;Kunci Mas Cooking Oil SNI (0520)6x2L Pch
802592;Kunci Mas CO SNI NP 6x2L Pch
801494;Kunci Mas CO SNI (0520)24x485Ml Btl
801495;Kunci Mas CO SNI(0520)12x950Ml Btl
801490;Kunci Mas CO SNI(0520)6x1.9L Btl
801491;Kunci Mas CO SNI (0520) 4x5L Jrc
801503;Masku CO SNI (0520)12x1L PCH
802596;Masku CO SNI NP 12x1L Pch
801504;Masku Cooking Oil SNI (0520) 6x2L PCH
802595;Masku CO SNI NP 6x2L Pch
801497;Masku CO SNI (0520) 24x485Ml Btl
801499;Masku CO SNI (0520) 12x900Ml Btl
802597;Mitra CO SNI NP 4x5L Jrc
801493;Masku Cooking Oil SNI (0520) 4x5L Jrc
802593;Mitra CO SNI NP 12x1L Pch
802569;Mitra CO SNI (1121) 12x1L Pch
802594;Mitra CO SNI NP 6x2L Pch
802568;Mitra CO SNI (1121) 6x2L Pch
801492;Mitra Cooking Oil SNI (0520) 4x5L Jrc
802570;Mitra CO SNI (1121) 4x5L Jrc
810917;FILMA MGRN TF SALTED (0420) 60X200G SCH
810921;Filma MGRN TF Salted (0520) 24X250G Tub
810957;Palmboom MGRN TF (1220) 24X250G Tub
810958;Palmboom MGRN TF (1220) 24X500G Tub
802615;Mgcr CO 12x1L Pch
802616;Mgcr CO 6x2L Pch
802609;Minyakita CO 12x1L Pch
802610;Minyakita CO 6x2L Pch
802611;Minyakita CO 4x5L Jrc
